Ticker,Name,Price,P/E (KGV),P/B (KBV),Umsatz ($B),Alpheon Score,Dividendenrendite (%)
SO,Southern Company (The),86.76,20.805756,2.52224,99.805495296,70.0,3.53
BA,Boeing Company (The),197.0,72.42647,25.531363,155.589132288,15.0,0.0
CSL.AX,CSL FPO [CSL],175.59,0.0,4.0279937,84.262879232,55.0,2.28
DIS,Walt Disney Company (The),105.35,22.085953,1.6563944,181.906456576,70.0,1.42
MU,"Micron Technology, Inc.",977.5,20.962898,10.956678,1103.981838336,45.0,6.0
ICE,Intercontinental Exchange Inc.,153.3,21.622004,2.910244,86.061776896,70.0,1.35
NVDA,NVIDIA Corporation,219.34,27.012316,23.129812,5296.402989056,40.0,47.0
XOM,ExxonMobil Holdings Corporation,163.27,21.01287,2.5883005,671.351898112,70.0,2.52
BAC,Bank of America Corporation,58.18,13.374713,1.4788268,406.838116352,90.0,2.21
LOW,"Lowe's Companies, Inc.",194.19,16.415047,-14.64811,108.951076864,60.0,2.58
MO,"Altria Group, Inc.",69.7,14.673683,-43.61702,116.381138944,70.0,6.33
XT,iShares Future Exponential Tech,82.1,29.087793,0.0,0.0,55.0,97.0
2330.TW,TAIWAN SEMICONDUCTOR MANUFACTUR,2460.0,28.738317,9.917356,63793.631592448,40.0,1.15
HSBA.L,HSBC HOLDINGS PLC ORD $0.50 (UK,1527.2,14.684615,2.0495515,261.362614272,80.0,3.62
NSC,Norfolk Southern Corporation,318.97,27.031355,4.4079766,71.643332608,55.0,1.69
TMUS,"T-Mobile US, Inc.",166.45,18.453436,3.179682,178.546180096,60.0,2.31
PT,PT,0.0,0.0,0.0,0.0,50.0,0.0
APD,"Air Products and Chemicals, Inc",286.12,0.0,4.5891542,63.714783232,55.0,2.52
AAL,"American Airlines Group, Inc.",12.94,0.0,-2.1563072,8.56589056,50.0,0.0
7974.T,NINTENDO CO LTD,8339.0,22.882936,3.294822,9613.809287168,60.0,2.58
6861.T,KEYENCE CORP,76580.0,41.755497,5.2335677,18572.575244288,35.0,72.0
ANZ.AX,ANZ GROUP FPO [ANZ],37.68,19.126904,1.5967455,113.455620096,70.0,4.39
CB,Chubb Limited,341.9,12.10694,1.7492965,131.904970752,80.0,1.19
ACN,Accenture plc,190.29,15.150476,3.6509275,116.44645376,60.0,3.44
PGR,Progressive Corporation (The),216.29,10.890735,3.6601627,125.686120448,70.0,18.0
QT,QT,0.0,0.0,0.0,0.0,50.0,0.0
JNJ,Johnson & Johnson,270.22,31.348028,7.6584287,651.202789376,40.0,2.01
ABT,Abbott Laboratories,102.23,33.084145,3.4610827,178.065555456,55.0,2.46
MDT,Medtronic plc.,92.77,22.849752,2.3640487,118.665617408,70.0,3.1
DE,Deere & Company,685.63,37.18167,6.604599,184.863277056,40.0,97.0
GE,GE Aerospace,313.47,36.878822,18.438328,325.244715008,40.0,60.0
GILD,"Gilead Sciences, Inc.",150.89,0.0,15.829837,187.09684224,40.0,2.22
CCL,Carnival Corporation Ltd.,22.17,10.077272,2.3455355,30.36512256,80.0,2.01
DB1.DE,DEUTSCHE BOERSE AG            N,275.85,23.80069,4.802235,49.732354048,60.0,1.52
CRM,"Salesforce, Inc.",242.85,22.93201,5.2077975,199.8655488,60.0,70.0
VRTX,Vertex Pharmaceuticals Incorpor,516.34,29.846245,6.4606304,130.78892544,35.0,0.0
CT,29931,0.0,0.0,0.0,0.0,50.0,0.0
7203.T,TOYOTA MOTOR CORP,3025.0,8.609894,0.9601358,35821.549780992,100.0,3.3
ULVR.L,UNILEVER PLC ORD 3.5P,4613.5,21.066208,7.162658,99.340853248,45.0,3.56
HD,"Home Depot, Inc. (The)",302.51,21.184175,18.16877,301.811105792,45.0,3.08
CVX,Chevron Corporation,211.57,20.362848,2.1856406,415.016419328,70.0,3.37
SIE.DE,SIEMENS AG                    N,266.75,26.675,3.0248566,208.135471104,55.0,2.05
AAPL,Apple Inc.,337.0,38.165344,45.788044,4918.238773248,40.0,32.0
NAB.AX,NAT. BANK FPO [NAB],38.47,19.235,1.9445989,117.769560064,70.0,4.33
HON,Honeywell International Inc.,206.49,7.981832,3.5305283,65.444941824,80.0,1.36
USB,U.S. Bancorp,60.25,11.930693,1.5484054,93.872603136,80.0,3.62
YT,YT,0.0,0.0,0.0,0.0,50.0,0.0
TJX,"TJX Companies, Inc. (The)",126.55,22.719929,13.442746,139.800346624,45.0,1.56
IBM,International Business Machines,237.75,21.095829,6.501586,223.992446976,45.0,2.85
MC.PA,LVMH,406.6,18.53236,2.9443288,200.439660544,70.0,3.15
SNPS,"Synopsys, Inc.",381.17,66.17535,2.3444064,73.04613888,40.0,0.0
KT,KT Corporation,19.48,9.838384,0.6834195,9.277615104,100.0,4.18
CBA.AX,CWLTH BANK FPO [CBA],152.43,23.414745,3.2378867,254.881808384,60.0,3.28
WMT,Walmart Inc.,106.79,38.974453,9.013336,847.244754944,40.0,93.0
CDNS,"Cadence Design Systems, Inc.",280.76,55.59604,11.274596,77.438099456,15.0,0.0
8035.T,TOKYO ELECTRON,53110.0,42.52985,11.268151,24127.706497024,20.0,1.47
ORLY,"O'Reilly Automotive, Inc.",84.89,26.611284,-37.745663,68.672679936,50.0,0.0
PANW,"Palo Alto Networks, Inc.",375.06,914.7805,11.118488,306.79908352,15.0,0.0
PG,Procter & Gamble Company (The),147.55,22.221386,6.4300346,342.970105856,45.0,2.96
MSFT,Microsoft Corporation,497.75,27.318882,8.356418,3696.065511424,40.0,79.0
K,K,0.0,0.0,0.0,0.0,50.0,0.0
AIR.DE,Airbus SE                     A,196.42,26.154459,6.008381,155.462598656,40.0,1.63
NFLX,"Netflix, Inc.",75.31,24.060701,10.4004965,313.586286592,40.0,0.0
ROG.SW,ROG.SW,0.0,0.0,0.0,0.0,50.0,0.0
JPM,JP Morgan Chase & Co.,349.31,14.972568,2.6262527,928.531021824,80.0,1.72
NOVN.SW,NOVARTIS N,116.78,21.232727,6.5958576,221.965484032,45.0,3.19
BRK-B,Berkshire Hathaway Inc. New,509.2,13.073171,0.00097505696,1090.049409024,85.0,0.0
DT,"Dynatrace, Inc.",55.83,109.4706,6.6141453,16.1349888,15.0,0.0
ZAL.DE,Zalando SE                    I,21.44,59.555553,2.0807455,5.236133376,40.0,0.0
HPQ,HP Inc.,34.66,13.229008,-339.80392,31.25607424,70.0,3.67
ALV.DE,Allianz SE                    v,443.9,14.554098,2.6687908,168.36517888,80.0,3.81
CL,Colgate-Palmolive Company,87.73,34.269535,296.38513,69.935972352,40.0,2.44
IT,"Gartner, Inc.",187.8,17.245178,-72.28638,11.859378176,55.0,0.0
BSX,Boston Scientific Corporation,43.55,17.775509,2.5272748,63.113945088,65.0,0.0
BARC.L,BARCLAYS PLC ORD 25P,474.85,9.892708,0.97465104,63.606202368,100.0,2.4
INTC,Intel Corporation,108.8,0.0,6.2676425,575.128272896,35.0,0.0
ITW,Illinois Tool Works Inc.,267.51,24.209051,26.324545,76.186853376,45.0,2.57
EQIX,"Equinix, Inc.",1025.94,65.3465,7.0387006,101.231222784,20.0,2.03
NESN.SW,NESTLE N,76.71,26.536331,6.7508807,197.263556608,40.0,3.96
HUM,Humana Inc.,384.52,36.37843,2.4032347,46.173278208,65.0,92.0
DGE.L,DIAGEO PLC ORD 28 101/108P,1616.5,27.870691,4.426438,35.944493056,55.0,2.74
MT,Arcelor Mittal NY Registry Shar,75.18,30.811476,2.0681686,56.568553472,65.0,82.0
GOOGL,Alphabet Inc.,347.33,17.211596,6.824308,4247.82331904,45.0,26.0
JT,JT,0.0,0.0,0.0,0.0,50.0,0.0
DAL,"Delta Air Lines, Inc.",79.43,12.915447,2.381495,52.23499776,80.0,1.1
BT,BT,0.0,0.0,0.0,0.0,50.0,0.0
PSA,Public Storage,300.76,28.082167,10.912521,56.197697536,40.0,4.07
6758.T,SONY GROUP CORPORATION,3697.0,19.815619,2.5940764,21610.195058688,70.0,93.0
BN.PA,DANONE,60.42,20.006622,2.2072845,38.916247552,70.0,3.69
8031.T,MITSUI & CO,5161.0,17.736614,1.6291015,14668.290588672,70.0,2.68
AIR.PA,AIRBUS SE,196.34,26.109041,6.005934,155.399274496,40.0,1.63
F,Ford Motor Company,13.61,0.0,1.5193123,54.271176704,65.0,4.41
RTX,RTX Corporation,193.54,34.62254,3.9297462,260.845092864,55.0,1.48
9433.T,KDDI CORPORATION,3060.0,16.682114,2.272329,11309.646086144,70.0,2.7
SHL.DE,Siemens Healthineers AG       N,38.52,19.553299,2.248424,43.11154688,70.0,2.61
EOAN.DE,E.ON SE                       N,17.53,13.5891485,2.159399,45.828411392,80.0,3.21
LLY,Eli Lilly and Company,1152.44,38.76354,30.325771,1027.235446784,40.0,61.0
MDLZ,"Mondelez International, Inc.",62.04,22.808825,2.9822624,79.637635072,70.0,3.35
V,Visa Inc.,369.93,31.537085,19.604132,694.490038272,40.0,72.0
OT,OT,0.0,0.0,0.0,0.0,50.0,0.0
DTE.DE,DEUTSCHE TELEKOM AG           N,27.05,15.196629,2.161579,129.369612288,70.0,3.47
BMW.DE,BAYERISCHE MOTOREN WERKE AG   S,62.36,6.001925,0.39167166,37.327167488,100.0,7.08
PAH3.DE,Porsche Automobil Holding SE  I,29.43,94.935486,0.2522802,9.012936704,55.0,5.26
KO,Coca-Cola Company (The),88.06,26.365269,10.482085,378.8824576,40.0,2.41
CON.DE,CONTINENTAL AG                I,69.82,0.0,3.3231795,13.964418048,55.0,3.82
O,Realty Income Corporation,57.32,41.536232,1.3713574,54.237216768,55.0,5.7
DHR,Danaher Corporation,212.5,37.150352,2.8406813,149.384527872,65.0,77.0
MMC,MMC,0.0,0.0,0.0,0.0,50.0,0.0
MRK,"Merck & Company, Inc.",147.15,115.86614,8.663016,363.044274176,20.0,2.35
TGT,Target Corporation,159.83,16.579876,4.0693026,72.609406976,60.0,3.0
LLOY.L,LLOYDS BANKING GROUP PLC ORD 10,110.873,13.859125,1.5528432,64.0525312,80.0,3.6
MQG.AX,MACQ GROUP FPO [MQG],238.62,24.574665,2.5248387,90.947239936,70.0,3.43
IFX.DE,INFINEON TECHNOLOGIES AG      N,56.2,68.53659,4.205957,73.0318848,35.0,64.0
WES.AX,WESFARMER FPO [WES],73.03,28.751968,10.553468,82.909691904,40.0,3.05
4503.T,ASTELLAS PHARMA,2383.5,14.691197,2.1998663,4273.648173056,80.0,3.38
BHP.AX,BHP GROUP FPO [BHP],61.05,22.527676,4.3460975,310.314336256,60.0,4.02
TLS.AX,TELSTRA FPO [TLS],4.86,24.300001,4.1396933,54.136205312,60.0,4.31
ORCL,Oracle Corporation,150.59,22.409225,11.548312,455.344390144,45.0,1.4
OR.PA,L'OREAL,376.9,32.04932,5.92955,200.661254144,55.0,1.89
COST,Costco Wholesale Corporation,893.93,45.034256,11.831826,396.439027712,20.0,66.0
GSK.L,GSK PLC ORD 31 1/4P,1885.5,15.978814,4.2813354,75.525799936,60.0,3.65
TMO,Thermo Fisher Scientific Inc,658.32,34.850185,4.6206646,243.412041728,55.0,29.0
HSY,The Hershey Company,168.33,23.314405,7.41248,33.821816832,45.0,3.45
VOW3.DE,VOLKSWAGEN AG                 V,79.42,7.614573,0.22599867,39.812870144,100.0,6.67
ABBV,AbbVie Inc.,264.02,74.16292,-78.60077,466.554290176,35.0,2.62
ADI,"Analog Devices, Inc.",362.65,42.91716,5.237655,175.727673344,35.0,1.22
TT,Trane Technologies plc,423.33,31.450964,10.815237,93.142409216,40.0,1.0
SAN.PA,SANOFI,74.98,23.141975,1.2980179,89.831194624,80.0,5.54
SYK,Stryker Corporation,280.13,29.48737,4.479357,107.450318848,55.0,1.26
SAF.PA,SAFRAN,329.5,35.35408,9.412941,136.536825856,40.0,1.03
ETN,"Eaton Corporation, PLC",409.46,40.500496,7.8520336,158.993317888,20.0,1.11
RWE.DE,RWE AG                        I,60.68,13.454545,1.0883133,47.329501184,90.0,2.0
SPGI,S&P Global Inc.,404.11,24.746479,3.7818537,119.13162752,60.0,96.0
CSX,CSX Corporation,47.9,27.848837,6.3009734,88.733548544,40.0,1.17
MA,Mastercard Incorporated,565.73,31.2558,88.45059,495.585067008,40.0,62.0
BAS.DE,BASF SE                       N,51.94,21.823528,1.2401508,45.931851776,80.0,4.3
MBG.DE,Mercedes-Benz Group AG        N,45.43,8.604166,0.4578391,43.491508224,100.0,7.58
VOD.L,VODAFONE GROUP PLC ORD USD0.20 ,126.0,0.0,0.6693782,29.119019008,75.0,3.03
BNR.DE,Brenntag SE                   N,60.96,24.190475,1.9850858,8.801732608,70.0,3.08
KER.PA,KERING,237.8,0.0,2.0134456,29.15888128,65.0,1.26
000660.KS,SK hynix,1857000.0,0.0,0.0,1318200.62507008,55.0,9.0
6501.T,HITACHI,5524.0,31.237278,3.7688656,24667.773468672,55.0,1.02
PNC,"PNC Financial Services Group, I",232.01,12.754809,1.5944169,92.558917632,80.0,3.45
9984.T,SOFTBANK GROUP CORP,6315.0,7.2360806,1.9743803,35988.701184,90.0,18.0
NEE,"NextEra Energy, Inc.",81.28,18.062222,2.967723,169.518006272,70.0,3.07
CLX,Clorox Company (The),85.0,17.634853,114.24731,10.279135232,45.0,5.88
NOC,Northrop Grumman Corporation,524.0,16.865143,4.1624303,74.441023488,60.0,1.86
AXP,American Express Company,311.17,18.973782,6.127203,210.136170496,45.0,1.22
SHW,Sherwin-Williams Company (The),320.94,29.66174,20.092657,77.910802432,40.0,1.0
9432.T,NTT INC,177.3,14.049129,1.4644421,14397.29451008,90.0,3.0
4502.T,TAKEDA PHARMACEUTICAL CO LTD,5968.0,0.0,1.2478635,9529.412550656,75.0,3.43
BKNG,Booking Holdings Inc. Common St,170.52,19.052515,-11.986504,132.132282368,60.0,98.0
AMZN,"Amazon.com, Inc.",251.19,19.794327,4.9102745,2709.413953536,55.0,0.0
8306.T,MITSUBISHI UFJ FINANCIAL GROUP ,3620.0,15.296852,1.7949867,40745.868197888,70.0,2.63
RT,638113,0.0,0.0,0.0,0.0,50.0,0.0
